Site;Date;Year;Season;Geology;Discharge;Discharge_deviation;Temperature;pH;DO;pN2O;N2O_concentration;delta_N2O;fN2O;pCH4;CH4_concentration;delta_CH4;fCH4;pCO2;CO2_concentration;delta_CO2;fCO2;TN;TDN;NO3-;NH4+;DIN;DON;DOC;TP;TDP;TPP;LU_Urban;LU_Agricultural;LC_Forest;LC_Wetland;LC_Water;LU_others
0;17-07-11;2017;Summer;Saint-Lawrence.lowlands;40.33;-0.44;20.3;7.64;88.9;0.4;11.43;2.32;0.01;NA;NA;NA;NA;1010.08;39.21;23.22;85.46;1806.3;1784.51;1317.28;124.86;1442.14;342.38;6.86;65.17;26.05;39.12;0.81;73.69;18.79;0;0.89;5.94
4;17-07-11;2017;Summer;Saint-Lawrence.lowlands;37.1;-0.43;19.05;7.9;91.3;0.43;11.47;1.99;0.05;73.38;116.53;0.12;2.67;932.61;33.68;17.09;598.06;1512.88;1500.41;1108.22;128.08;1236.3;264.11;6.85;59.68;25.92;33.76;4.73;62.54;27.86;0.04;1.91;2.91
18;17-07-11;2017;Summer;Saint-Lawrence.lowlands;35.82;-0.4;18.67;7.74;82.2;0.51;14.04;4.45;0.08;293.82;470.27;0.47;8.11;1387.04;51.78;35;905.55;1135.84;1054.91;699.65;224.19;923.83;131.07;6.62;46.72;25.49;21.23;1.29;8.04;79.37;0.27;5.23;5.8
40;17-07-11;2017;Summer;Saint-Lawrence.lowlands;27.61;-0.41;18.72;8.02;83.5;0.67;18.37;8.8;0.07;304.42;486.72;0.49;3.64;1332.91;49.69;32.94;369.49;1037.53;991.35;487.2;271.73;758.93;232.42;6.34;45.2;27.59;17.61;2.33;14.22;65.49;0.71;1.19;16.07
58;17-07-12;2017;Summer;Saint-Lawrence.lowlands;23.13;-0.43;19.44;8.11;90.8;0.73;19.41;10.05;0.02;395.82;623.56;0.62;1.28;1102.69;40.28;23.88;73.42;1038.7;987.98;493.9;377.71;871.62;116.36;5.67;56.68;26.89;29.78;4.8;15.98;64.88;0.51;2.78;11.04
70;17-07-13;2017;Summer;Saint-Lawrence.lowlands;19.72;-0.46;19.08;7.35;101.4;0.52;14.24;4.77;0.03;NA;NA;NA;NA;315.95;11.74;-4.83;39.32;511.13;479.62;314.61;60.52;375.14;104.48;5.35;29.62;15.52;14.1;37.12;17.67;35.49;0;0.44;9.33
82;17-07-12;2017;Summer;Canadian.shield;19.48;-0.45;19.81;7.78;92.1;0.34;9.07;-0.19;0;135.68;212.14;0.21;1.29;707.99;25.6;9.37;86.19;499.39;424.66;211.33;87.12;298.44;126.22;5.53;19.6;8.13;11.47;9.94;5.03;61.87;0.44;8.66;14.06
92;17-07-13;2017;Summer;Canadian.shield;17.98;-0.45;18.63;7.52;101.1;0.32;8.76;-0.84;-0.02;23.09;36.99;0.04;0.75;421.88;15.77;-1.03;33.85;425.06;361;226.06;66.92;292.98;68.01;5.24;24.98;7.87;17.11;5.25;4.8;77.53;0;1.36;11.06
101;17-07-14;2017;Summer;Canadian.shield;15.56;-0.49;17.57;8.25;98.8;0.3;8.36;-1.57;-0.08;33.11;54.24;0.05;2.46;455.13;17.53;-0.95;68.05;358.33;NA;197.78;9.98;207.76;NA;5.34;16.12;7.56;8.56;1.43;1.03;88.44;0.05;4.59;4.47
106;17-07-14;2017;Summer;Canadian.shield;12.32;-0.49;17.66;7.6;97.4;0.31;8.7;-1.21;-0.02;NA;NA;NA;NA;349.29;13.42;-3.87;78.33;365.49;336.42;184.23;10.93;195.16;141.27;5.24;13.99;7.31;6.68;1.09;0.31;89.27;0.11;6.22;3
