variable name;description;unit;;;;;;;;;;;;;;
Site;site's name, river kilometer;km;;;;;;;;;;;;;;
Date;day of sampling;;;;;;;;;;;;;;;
Season;season of sampling;;;;;;;;;;;;;;;
Year;year of sampling;;;;;;;;;;;;;;;
Geology;geological provinces where the site is located;;;;;;;;;;;;;;;
Discharge;discharge at the sampling site the day of sampling;m3 s-1;;;;;;;;;;;;;;
Discharge_deviation;"site-specific deviation of the flow rate at a specific sampling moment from its measured average 
(across multiple years and seasons)";;;;;;;;;;;;;;;
Temperature;water temperature at time of sampling;°C;;;;;;;;;;;;;;
pH;pH at time of sampling;;;;;;;;;;;;;;;
DO;Dissolved oxygen at the time of sampling;%;;;;;;;;;;;;;;
pN2O;N2O partial pressure in water;ppm;;;;;;;;;;;;;;
N2O_concentration;N2O dissolved concentration ;nmol L-1;;;;;;;;;;;;;;
delta_N2O;N2O deviation from saturation;nmol L-1;;;;;;;;;;;;;;
fN2O;N2O flux;mmol m-2 d-1;;;;;;;;;;;;;;
pCH4;CH4 partial pressure in water;ppm;;;;;;;;;;;;;;
CH4_concentration;CH4 dissolved concentration;µmol L-1;;;;;;;;;;;;;;
delta_CH4;CH4 deviation from saturation;µmol L-1;;;;;;;;;;;;;;
fCH4;CH4 flux;mmol m-2 d-1;;;;;;;;;;;;;;
pCO2;CO2 partial pressure in water;ppm;;;;;;;;;;;;;;
CO2_concentration;CO2 dissolved concentration;µmol L-1;;;;;;;;;;;;;;
delta_CO2;CO2 deviation from saturation;µmol L-1;;;;;;;;;;;;;;
fCO2;CO2 flux;mmol m-2 d-1;;;;;;;;;;;;;;
TN;Total Nitrogen;µg L-1;;;;;;;;;;;;;;
TDN;Total Dissolved Nitrogen;µg L-1;;;;;;;;;;;;;;
NO3-;Nitrates;µg L-1;;;;;;;;;;;;;;
NH4+;Ammonium;µg L-1;;;;;;;;;;;;;;
DIN;Dissolved Inorganic Nitrogen;µg L-1;;;;;;;;;;;;;;
DON;Dissolved Organic Nitrogen;µg L-1;;;;;;;;;;;;;;
DOC;Dissolved Organic Carbon;mg L-1;;;;;;;;;;;;;;
TP;Total Phosphorus;µg L-1;;;;;;;;;;;;;;
TDP;Total Dissolved Phosphorus;µg L-1;;;;;;;;;;;;;;
TPP;Total Particulate Phosphorus;µg L-1;;;;;;;;;;;;;;
LU_Urban;Urban Land Use as a function of the subwatershed area changes between specific sampling sites ;%;;;;;;;;;;;;;;
LU_Agriculture;Agricultural Land Use as a function of the subwatershed area changes between specific sampling sites ;%;;;;;;;;;;;;;;
LC_Forest;Forest Land Cover as a function of the subwatershed area changes between specific sampling sites ;%;;;;;;;;;;;;;;
LC_Wetland;Wetland Land Cover as a function of the subwatershed area changes between specific sampling sites ;%;;;;;;;;;;;;;;
LC_Water;Water Land Cover as a function of the subwatershed area changes between specific sampling sites ;%;;;;;;;;;;;;;;
LU_Others;"Others Land Use (forestry, various industries, quarries, landfill sites, and road cover) 
as a function of the subwatershed area changes between specific sampling sites ";%;;;;;;;;;;;;;;
